Nama Rumah,Harga,Cicilan,Lokasi,Keterangan
Perumahan Citra Indah City Cluster Bukit Cempaka,Rp 580.000.000,Cicilan 5.6 Juta/bulan,"Jonggol, Kabupaten bogor",LT 120 m²LB 120 m²KM 1KT 3
Metland Cileungsi,Rp 580.000.000,Cicilan 5.6 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 78 m²LB 50 m²KM 1KT 2
Perumahan Sukadamai Green Residence,Rp 580.000.000,Cicilan 5.6 Juta/bulan,"Tanah sareal, Kota bogor",LT 72 m²LB 36 m²KM 1KT 2
Perumahan D'Palm Residence Tangerang Selatan,Rp 580.000.000,Cicilan 5.6 Juta/bulan,"Setu, Kota tangerang selatan",LT 90 m²LB 48 m²KM 1KT 3
Komplek PWI Jaya Blok B3,Rp 580.000.000,Cicilan 5.6 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 90 m²LB 70 m²KM 1KT 2
Perumahan Teratai Griya Asri,Rp 590.000.000,Cicilan 5.7 Juta/bulan,"Legok, Kabupaten tangerang",LT 91 m²LB 65 m²KM 1KT 2
Perumahan Bekasi Timur Regency,Rp 590.000.000,Cicilan 5.7 Juta/bulan,"Setu, Kabupaten bekasi",LT 108 m²LB 75 m²KM 1KT 2
Grand Flora Permata Residence,Rp 590.000.000,Cicilan 5.7 Juta/bulan,"Legok, Kabupaten tangerang",LT 60 m²LB 50 m²KM 1KT 2
Green Babelan Asri,Rp 590.000.000,Cicilan 5.7 Juta/bulan,"Babelan, Kabupaten bekasi",LT 84 m²LB 42 m²KM 1KT 2
Perumahan Villa Mahkota Indah,Rp 590.000.000,Cicilan 5.7 Juta/bulan,"Tarumajaya, Kabupaten bekasi",LT 72 m²LB 42 m²KM 1KT 2
Pesona Cinangka Asri Sawangan,Rp 590.000.000,Cicilan 5.7 Juta/bulan,"Sawangan, Kota depok",LT 72 m²LB 40 m²KM 1KT 2
Perumahan Graha Indah Curug,Rp 590.000.000,Cicilan 5.7 Juta/bulan,"Curug, Kabupaten tangerang",LT 60 m²LB 100 m²KM 1KT 3
Graha Asri Residence,Rp 590.000.000,Cicilan 5.7 Juta/bulan,"Setu, Kabupaten bekasi",LT 144 m²LB 100 m²KM 1KT 4
Perumahan Cahaya Nusantara 3,Rp 590.000.000,Cicilan 5.7 Juta/bulan,"Babelan, Kabupaten bekasi",LT 60 m²LB 36 m²KM 1KT 2
Greenpark Residence,Rp 590.000.000,Cicilan 5.7 Juta/bulan,"Tigaraksa, Kabupaten tangerang",LT 90 m²LB 90 m²KM 1KT 2
Perumahan Pinus 3,Rp 590.000.000,Cicilan 5.7 Juta/bulan,"Ciomas, Kabupaten bogor",LT 72 m²LB 72 m²KM 1KT 2
Kampung Kebon Kavling H. Edi Depok,Rp 590.000.000,Cicilan 5.7 Juta/bulan,"Sawangan, Kota depok",LT 80 m²LB 60 m²KM 1KT 2
Perum Cilangkap Indah 88,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Tapos, Kota depok",LT 97 m²LB 65 m²KM 1KT 2
Harvest City,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Setu, Kabupaten bekasi",LT 72 m²LB 36 m²KM 1KT 2
Harvest City Cluster Quince Blossom,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Setu, Kabupaten bekasi",LT 90 m²LB 50 m²KM 2KT 2
Cluster Jatiasih Estate,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Jatiasih, Kota bekasi",LT 70 m²LB 45 m²KM 1KT 2
Villa Pamulang,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Bojongsari, Kota depok",LT 78 m²LB 78 m²KM 1KT 2
Bumi Cilebut Damai ,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 72 m²LB 54 m²KM 1KT 2
Cikeas Country Residence,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 84 m²LB 70 m²KM 1KT 2
Kencana Village 2,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 60 m²LB 40 m²KM 1KT 2
Tera Damai Cluster Astama,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Tambun utara, Kabupaten bekasi",LT 70 m²LB 50 m²KM 1KT 2
Perumahan Nirwana I,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Legok, Kabupaten tangerang",LT 72 m²LB 60 m²KM 1KT 2
Perumahan Mustika Park Place Cluster Navara,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Setu, Kabupaten bekasi",LT 60 m²LB 30 m²KM 1KT 2
Puri Serpong 2,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Setu, Kota tangerang selatan",LT 60 m²LB 60 m²KM 1KT 2
Perumahan Puri Kintamani,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 74 m²LB 50 m²KM 1KT 2
Cluster Velonia 2,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 61 m²LB 60 m²KM 2KT 3
Teras Candraloka I,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Kemang, Kabupaten bogor",LT 90 m²LB 72 m²KM 1KT 3
Griya Melati Dramaga,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Bogor barat, Kota bogor",LT 72 m²LB 36 m²KM 1KT 2
Perumahan Citra Indah City Cluster Bukit Lavender,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Jonggol, Kabupaten bogor",LT 150 m²LB 48 m²KM 1KT 2
Perumahan Grand Taman Semesta Mas,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Tajurhalang, Kabupaten bogor",LT 84 m²LB 42 m²KM 1KT 2
Perumahan Grand Taman Semesta Mas,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Tajurhalang, Kabupaten bogor",LT 73 m²LB 36 m²KM 1KT 2
Pondok Ungu Permai,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Babelan, Kabupaten bekasi",LT 72 m²LB 120 m²KM 2KT 3
Perumahan Mutiara Garuda Tangerang,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Teluknaga, Kabupaten tangerang",LT 72 m²LB 60 m²KM 2KT 4
Perumahan Adelia Residence,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Setu, Kabupaten bekasi",LT 72 m²LB 36 m²KM 1KT 3
Jalan Pamikul V Bogor,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Bogor utara, Kota bogor",LT 74 m²LB 63 m²KM 1KT 3
Metland Cibitung Cluster Taman Kemanggisan,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Cikarang barat, Kabupaten bekasi",LT 72 m²LB 72 m²KM 1KT 2
Bukit Mekar Wangi,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Tanah sareal, Kota bogor",LT 64 m²LB 36 m²KM 1KT 2
Golden Hills Cluster Asisi,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 60 m²LB 29 m²KM 1KT 2
Perum Setu Residence 2,Rp 610.000.000,Cicilan 5.8 Juta/bulan,"Setu, Kabupaten bekasi",LT 72 m²LB 40 m²KM 1KT 2
Perumahan Pesona Laguna 2,Rp 610.000.000,Cicilan 5.8 Juta/bulan,"Tapos, Kota depok",LT 90 m²LB 77 m²KM 1KT 2
Srimaya Residence Cluster Arkana,Rp 610.000.000,Cicilan 5.8 Juta/bulan,"Bantargebang, Kota bekasi",LT 70 m²LB 35 m²KM 1KT 2
Pondok Ungu Permai,Rp 610.000.000,Cicilan 5.8 Juta/bulan,"Babelan, Kabupaten bekasi",LT 60 m²LB 50 m²KM 1KT 3
Perumahan Pesona Residence,Rp 610.000.000,Cicilan 5.8 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 156 m²LB 105 m²KM 1KT 2
Perumahan Billabong Permai,Rp 610.000.000,Cicilan 5.8 Juta/bulan,"Bojong gede, Kabupaten bogor",LT 77 m²LB 77 m²KM 1KT 2
Cluster Grand City Sepatan,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Sepatan, Kabupaten tangerang",LT 93 m²LB 40 m²KM 1KT 2
Green Babelan Asri Custer Yudhistira,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Babelan, Kabupaten bekasi",LT 84 m²LB 42 m²KM 1KT 2
Permata Hill Residence,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 73 m²LB 36 m²KM 1KT 2
Perumahan Wahana Harapan,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Tarumajaya, Kabupaten bekasi",LT 60 m²LB 84 m²KM 2KT 3
Taman Sawangan Residence,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Sawangan, Kota depok",LT 79 m²LB 60 m²KM 1KT 2
Cluster Mozaik 5,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Jatiasih, Kota bekasi",LT 73 m²LB 43 m²KM 1KT 2
Pondok Ungu Permai,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Babelan, Kabupaten bekasi",LT 60 m²LB 45 m²KM 1KT 2
Perumahan Ciomas River View,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Ciomas, Kabupaten bogor",LT 72 m²LB 55 m²KM 1KT 2
Perumahan Ciomas Hills Cluster Malabar,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Ciomas, Kabupaten bogor",LT 90 m²LB 81 m²KM 1KT 3
Perumahan Citra Indah City Cluster Bukit Tektona,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Jonggol, Kabupaten bogor",LT 163 m²LB 38 m²KM 3KT 3
Cluster Griya Azizah Bekasi,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Jatiasih, Kota bekasi",LT 77 m²LB 50 m²KM 1KT 2
Triraksa Village 2,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Tigaraksa, Kabupaten tangerang",LT 97 m²LB 38 m²KM 1KT 2
Perumahan Bilabong Permai Bogor,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Bojong gede, Kabupaten bogor",LT 60 m²LB 60 m²KM 1KT 1
Green Residence,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Bogor utara, Kota bogor",LT 72 m²LB 36 m²KM 1KT 2
Perumahan Vila Indah Permai,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Bekasi utara, Kota bekasi",LT 60 m²LB 40 m²KM 1KT 2
Putri Indah Estate Bogor,Rp 630.000.000,Cicilan 6 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 180 m²LB 150 m²KM 3KT 4
Sawangan Village Cluster Jasmine,Rp 630.000.000,Cicilan 6 Juta/bulan,"Sawangan, Kota depok",LT 72 m²LB 60 m²KM 1KT 2
Perumahan Puri Mutiara Indah,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cikarang utara, Kabupaten bekasi",LT 60 m²LB 55 m²KM 1KT 2
Foresh Hill Cluster Arcadia Okwood,Rp 630.000.000,Cicilan 6 Juta/bulan,"Parung panjang, Kabupaten bogor",LT 72 m²LB 39 m²KM 1KT 2
Komplek Puri Kedaton Bekasi,Rp 630.000.000,Cicilan 6 Juta/bulan,"Mustikajaya, Kota bekasi",LT 60 m²LB 100 m²KM 3KT 3
Perumahan Refah Residence 2,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tamansari, Kabupaten bogor",LT 72 m²LB 45 m²KM 1KT 3
Sentul Indah Residence,Rp 630.000.000,Cicilan 6 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 88 m²LB 33 m²KM 1KT 2
Central Park Cikarang,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cikarang utara, Kabupaten bekasi",LT 72 m²LB 50 m²KM 1KT 2
Cluster Graha Catania,Rp 630.000.000,Cicilan 6 Juta/bulan,"Panongan, Kabupaten tangerang",LT 60 m²LB 60 m²KM 2KT 2
Vila Mutiara Bogor 1,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tanah sareal, Kota bogor",LT 60 m²LB 105 m²KM 2KT 2
Lotus Green Cimahpar,Rp 630.000.000,Cicilan 6 Juta/bulan,"Bogor utara, Kota bogor",LT 70 m²LB 40 m²KM 1KT 2
Perum Kavling Pulomas 4,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cipayung, Kota depok",LT 91 m²LB 45 m²KM 1KT 2
Karima Green Residence,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tajurhalang, Kabupaten bogor",LT 78 m²LB 36 m²KM 2KT 2
Perumahan Nuansa Indah Pasir Putih 1,Rp 630.000.000,Cicilan 6 Juta/bulan,"Sawangan, Kota depok",LT 75 m²LB 36 m²KM 1KT 2
Perum Cluster Agung Indah,Rp 630.000.000,Cicilan 6 Juta/bulan,"Panongan, Kabupaten tangerang",LT 72 m²LB 36 m²KM 1KT 2
Agra Kemala Bahagia,Rp 630.000.000,Cicilan 6 Juta/bulan,"Babelan, Kabupaten bekasi",LT 101 m²LB 57 m²KM 1KT 2
Puri Kintamani Cilebut,Rp 630.000.000,Cicilan 6 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 105 m²LB 48 m²KM 1KT 2
Villa Mutiara Gading 1,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tarumajaya, Kabupaten bekasi",LT 72 m²LB 60 m²KM 1KT 2
Griya Bukit Jaya 2,Rp 630.000.000,Cicilan 6 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 66 m²LB 66 m²KM 1KT 2
Forest Hill Cluster Arcadia Oakwood,Rp 630.000.000,Cicilan 6 Juta/bulan,"Parung panjang, Kabupaten bogor",LT 70 m²LB 39 m²KM 1KT 2
Green Cikarang Asri,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cikarang utara, Kabupaten bekasi",LT 72 m²LB 60 m²KM 1KT 2
Villa Indah Permai,Rp 630.000.000,Cicilan 6 Juta/bulan,"Bekasi utara, Kota bekasi",LT 90 m²LB 55 m²KM 1KT 2
Relife Greenville Cileungsi Cluster Fruitville,Rp 630.000.000,Cicilan 6 Juta/bulan,"Setu, Kabupaten bekasi",LT 151 m²LB 63 m²KM 1KT 2
"Perumahan Pondok Permata Babelan, Jl. Boulevard Permata Blok B5",Rp 630.000.000,Cicilan 6 Juta/bulan,"Babelan, Kabupaten bekasi",LT 72 m²LB 54 m²KM 1KT 2
Perumahan pondok AFI II Blok F1 ,Rp 630.000.000,Cicilan 6 Juta/bulan,"Babelan, Kabupaten bekasi",LT 72 m²LB 40 m²KM 1KT 2
Perumahan Green Paradise,Rp 630.000.000,Cicilan 6 Juta/bulan,"Bojong gede, Kabupaten bogor",LT 90 m²LB 36 m²KM 1KT 2
Sentraland Paradise Cluster Malta,Rp 630.000.000,Cicilan 6 Juta/bulan,"Parung panjang, Kabupaten bogor",LT 72 m²LB 36 m²KM 1KT 2
Pamulang Park Residence,Rp 630.000.000,Cicilan 6 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 60 m²LB 40 m²KM 1KT 2
Metland Cileungsi,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 72 m²LB 48 m²KM 1KT 2
Metland Cileungsi Cluster Lily Blok DC,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 84 m²LB 38 m²KM 1KT 2
Perumahan Taman Griya Asri,Rp 630.000.000,Cicilan 6 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 72 m²LB 50 m²KM 1KT 2
Perumahan Samasta Citayam,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tajurhalang, Kabupaten bogor",LT 84 m²LB 60 m²KM 1KT 2
Perumahan Bukit Mekar Wangi Sektor 4 Cluster Alamanda,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tanah sareal, Kota bogor",LT 72 m²LB 30 m²KM 1KT 2
De’Mulya Residence,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cibinong, Kabupaten bogor",LT 74 m²LB 50 m²KM 1KT 2
Perum Harvest City Cluster Sweet Hortensia,Rp 630.000.000,Cicilan 6 Juta/bulan,"Setu, Kabupaten bekasi",LT 66 m²LB 30 m²KM 1KT 2
The Palm Residence Cluster Jaguar,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tambun utara, Kabupaten bekasi",LT 78 m²LB 60 m²KM 1KT 2
Perumahan Cibungbulang Town Hill Jalan Raya Leuwiliang Cluster Pancar ,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cibungbulang, Kabupaten bogor",LT 84 m²LB 40 m²KM 1KT 2
Griya Nusa citra,Rp 630.000.000,Cicilan 6 Juta/bulan,"Jatiasih, Kota bekasi",LT 63 m²LB 68 m²KM 1KT 2
Srimaya Residence,Rp 630.000.000,Cicilan 6 Juta/bulan,"Bantargebang, Kota bekasi",LT 60 m²LB 35 m²KM 1KT 2
Perumahan Bukit Mekar Wangi,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tanah sareal, Kota bogor",LT 72 m²LB 36 m²KM 1KT 2
Panorama Bali Residence,Rp 630.000.000,Cicilan 6 Juta/bulan,"Ciseeng, Kabupaten bogor",LT 108 m²LB 40 m²KM 1KT 2
Perumahan Citra Indah City Bukit Cordia DD,Rp 630.000.000,Cicilan 6 Juta/bulan,"Jonggol, Kabupaten bogor",LT 80 m²LB 36 m²KM 1KT 2
Perumahan Griya Cileungsi 5,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 72 m²LB 72 m²KM 1KT 2
"Golden Samara Residance, Tigaraksa, Kab. Tangerang",Rp 630.000.000,Cicilan 6 Juta/bulan,"Tigaraksa, Kabupaten tangerang",LT 60 m²LB 30 m²KM 1KT 2
Perumahan Bekasi Timur Regensi,Rp 630.000.000,Cicilan 6 Juta/bulan,"Setu, Kabupaten bekasi",LT 72 m²LB 60 m²KM 1KT 2
Perumahan Telaga Laras Asri,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tajurhalang, Kabupaten bogor",LT 87 m²LB 70 m²KM 2KT 2
Perumahan Vila Mutiara Cikarang 2,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cikarang selatan, Kabupaten bekasi",LT 60 m²LB 60 m²KM 1KT 2
Perumahan Duren Jaya,Rp 630.000.000,Cicilan 6 Juta/bulan,"Bekasi timur, Kota bekasi",LT 120 m²LB 90 m²KM 2KT 4
Perumahan Forest Hill Cluster Arcadia Bogor,Rp 630.000.000,Cicilan 6 Juta/bulan,"Parung panjang, Kabupaten bogor",LT 72 m²LB 39 m²KM 1KT 2
Perumahan Bizhome Cluster Beryl,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cikupa, Kabupaten tangerang",LT 60 m²LB 60 m²KM 1KT 2
Tenjo City Metropolis,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tenjo, Kabupaten bogor",LT 26 m²LB 70 m²KM 1KT 2
Citaville Parung Panjang,Rp 630.000.000,Cicilan 6 Juta/bulan,"Parung panjang, Kabupaten bogor",LT 60 m²LB 80 m²KM 2KT 2
Perumahan Taman Adiyasa ,Rp 630.000.000,Cicilan 6 Juta/bulan,"Solear, Kabupaten tangerang",LT 72 m²LB 72 m²KM 1KT 2
Griya Persada,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tambun selatan, Kabupaten bekasi",LT 90 m²LB 50 m²KM 1KT 2
Bogor Peace Village,Rp 630.000.000,Cicilan 6 Juta/bulan,"Ciseeng, Kabupaten bogor",LT 78 m²LB 36 m²KM 1KT 2
Perumahan Graha Aquila,Rp 630.000.000,Cicilan 6 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 66 m²LB 36 m²KM 1KT 2
Perumahan Citra Indah Cluster Bukit Melia,Rp 630.000.000,Cicilan 6 Juta/bulan,"Jonggol, Kabupaten bogor",LT 90 m²LB 36 m²KM 2KT 2
Perumahan De Paris Residence,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tajurhalang, Kabupaten bogor",LT 60 m²LB 36 m²KM 1KT 2
Perum Gardenia Residences,Rp 630.000.000,Cicilan 6 Juta/bulan,"Bojong gede, Kabupaten bogor",LT 72 m²LB 36 m²KM 1KT 2
Perumahan The River Cluster Fontana,Rp 630.000.000,Cicilan 6 Juta/bulan,"Parung panjang, Kabupaten bogor",LT 60 m²LB 50 m²KM 1KT 2
Pesona Atlantis,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cikupa, Kabupaten tangerang",LT 72 m²LB 50 m²KM 2KT 2
Graha Gading Serpong,Rp 630.000.000,Cicilan 6 Juta/bulan,"Kelapa dua, Kabupaten tangerang",LT 60 m²LB 36 m²KM 1KT 2
Chatra Residence,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tajurhalang, Kabupaten bogor",LT 72 m²LB 40 m²KM 1KT 2
Griya Gading Village,Rp 630.000.000,Cicilan 6 Juta/bulan,"Setu, Kota tangerang selatan",LT 70 m²LB 70 m²KM 1KT 2
Tranboge Village,Rp 630.000.000,Cicilan 6 Juta/bulan,"Bojong gede, Kabupaten bogor",LT 70 m²LB 36 m²KM 1KT 2
Bekasi Timur Regency 5 Cluster Fargesia,Rp 630.000.000,Cicilan 6 Juta/bulan,"Bantargebang, Kota bekasi",LT 60 m²LB 29 m²KM 1KT 2
Metland Cibitung,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cikarang barat, Kabupaten bekasi",LT 72 m²LB 40 m²KM 1KT 2
Perumahan The River Cluster Fontana,Rp 630.000.000,Cicilan 6 Juta/bulan,"Pagedangan, Kabupaten tangerang",LT 72 m²LB 39 m²KM 1KT 2
Mustika Park Place,Rp 630.000.000,Cicilan 6 Juta/bulan,"Setu, Kabupaten bekasi",LT 69 m²LB 40 m²KM 1KT 1
Komplek Perumahan Koperindag Tahap 1,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tambun selatan, Kabupaten bekasi",LT 132 m²LB 100 m²KM 1KT 3
Jl Kitong Sasak Panjang,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tajurhalang, Kabupaten bogor",LT 75 m²LB 50 m²KM 1KT 2
Perum Geriya Selaras,Rp 630.000.000,Cicilan 6 Juta/bulan,"Ciampea, Kabupaten bogor",LT 72 m²LB 36 m²KM 1KT 2
Citoh Cluster The Pangrango,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cibungbulang, Kabupaten bogor",LT 84 m²LB 100 m²KM 3KT 3
Nirwana Hills Serpong Cluster Hoya,Rp 630.000.000,Cicilan 6 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 72 m²LB 36 m²KM 1KT 2
Villa Gading Harapan,Rp 630.000.000,Cicilan 6 Juta/bulan,"Babelan, Kabupaten bekasi",LT 96 m²LB 85 m²KM 2KT 2
Grand Nusa Indah Cluster New Nemophila,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 60 m²LB 31 m²KM 1KT 2
Sanur Valley Serpong Blok Lovina,Rp 630.000.000,Cicilan 6 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 72 m²LB 42 m²KM 1KT 2
Jalan Kelapa Dua,Rp 630.000.000,Cicilan 6 Juta/bulan,"Mustikajaya, Kota bekasi",LT 113 m²LB 90 m²KM 2KT 3
Perumahan Harvest City Cluster Orchid,Rp 630.000.000,Cicilan 6 Juta/bulan,"Setu, Kabupaten bekasi",LT 90 m²LB 36 m²KM 1KT 2
Perumahan Mutiara Bogor Raya,Rp 630.000.000,Cicilan 6 Juta/bulan,"Bogor timur, Kota bogor",LT 72 m²LB 42 m²KM 1KT 2
Mutiara Gading City Cluster Manhattan,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tarumajaya, Kabupaten bekasi",LT 60 m²LB 70 m²KM 2KT 2
Grand Nusa Indah,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 72 m²LB 36 m²KM 1KT 2
Perumahan Cluster Relife Greenville,Rp 630.000.000,Cicilan 6 Juta/bulan,"Setu, Kabupaten bekasi",LT 115 m²LB 60 m²KM 2KT 3
Perumahan Griya Cibungbulang,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cibungbulang, Kabupaten bogor",LT 60 m²LB 60 m²KM 2KT 2
Bintang Metropole,Rp 630.000.000,Cicilan 6 Juta/bulan,"Bekasi utara, Kota bekasi",LT 55 m²LB 55 m²KM 1KT 2
Casa Gardenia,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cibitung, Kabupaten bekasi",LT 72 m²LB 36 m²KM 2KT 2
Cluster Darussalam Residence,Rp 630.000.000,Cicilan 6 Juta/bulan,"Sukatani, Kabupaten bekasi",LT 72 m²LB 36 m²KM 1KT 2
Griya Indah Serpong,Rp 630.000.000,Cicilan 6 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 60 m²LB 60 m²KM 1KT 2
Perumahan Citaville,Rp 630.000.000,Cicilan 6 Juta/bulan,"Parung panjang, Kabupaten bogor",LT 60 m²LB 48 m²KM 2KT 2
Grand Nusa Indah Cileungsi,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 120 m²LB 65 m²KM 1KT 2
Permata Mansion Cluster Jade,Rp 630.000.000,Cicilan 6 Juta/bulan,"Bojongsari, Kota depok",LT 72 m²LB 36 m²KM 1KT 2
Perum Green Bekasi Village,Rp 630.000.000,Cicilan 6 Juta/bulan,"Mustikajaya, Kota bekasi",LT 72 m²LB 120 m²KM 2KT 2
Villa Regency 2,Rp 630.000.000,Cicilan 6 Juta/bulan,"Periuk, Kota tangerang",LT 60 m²LB 60 m²KM 1KT 2
Vila Mujair,Rp 630.000.000,Cicilan 6 Juta/bulan,"Jatisampurna, Kota bekasi",LT 63 m²LB 36 m²KM 1KT 2
Perumahan D'Phaniisan 2,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tajurhalang, Kabupaten bogor",LT 84 m²LB 36 m²KM 1KT 2
Citra Indah City Cluster Rosella,Rp 630.000.000,Cicilan 6 Juta/bulan,"Jonggol, Kabupaten bogor",LT 90 m²LB 35 m²KM 1KT 2
Perumahan Bumi Anggrek Bekasi,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tambun utara, Kabupaten bekasi",LT 72 m²LB 60 m²KM 1KT 2
Perum Puri Bukit Depok,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tajurhalang, Kabupaten bogor",LT 90 m²LB 120 m²KM 2KT 3
Victoria Village,Rp 630.000.000,Cicilan 6 Juta/bulan,"Babelan, Kabupaten bekasi",LT 165 m²LB 66 m²KM 1KT 2
Sulambayang Residence,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tajurhalang, Kabupaten bogor",LT 83 m²LB 45 m²KM 1KT 2
Puri Bukit Hijau 3,Rp 630.000.000,Cicilan 6 Juta/bulan,"Jatiasih, Kota bekasi",LT 54 m²LB 36 m²KM 1KT 2
Perumahan Papan Mas,Rp 630.000.000,Cicilan 6 Juta/bulan,"Tambun selatan, Kabupaten bekasi",LT 102 m²LB 90 m²KM 1KT 2
Bumi Indah Cluster Victoria,Rp 630.000.000,Cicilan 6 Juta/bulan,"Pasar kemis, Kabupaten tangerang",LT 60 m²LB 33 m²KM 1KT 2
Griya Dago Residence Pamulang,Rp 630.000.000,Cicilan 6 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 74 m²LB 45 m²KM 2KT 3
Perumahan Kirana Cibitung,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cibitung, Kabupaten bekasi",LT 60 m²LB 60 m²KM 1KT 2
Metland Cileungsi,Rp 630.000.000,Cicilan 6 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 84 m²LB 70 m²KM 1KT 2
